className,travel,film,business,science,football
travel,1,0.8058534398992,0.7486907774739,0.79784260333024,0.67373409354835
film,0.8058534398992,1,0.77660853717164,0.83724743378528,0.71612992525053
business,0.7486907774739,0.77660853717164,1,0.82272489048293,0.69705343618007
science,0.79784260333024,0.83724743378528,0.82272489048293,1,0.70689091972542
football,0.67373409354835,0.71612992525053,0.69705343618007,0.70689091972542,1
