className,football,business,film,travel
football,1,0.69849262745561,0.71469970708038,0.6784569482737
business,0.69849262745561,1,0.776604664886,0.75338913732608
film,0.71469970708038,0.776604664886,1,0.80861599295141
travel,0.6784569482737,0.75338913732608,0.80861599295141,1
