className,fashion,travel,"us news",science,football
fashion,1,0.79941874091006,0.61972543017578,0.81356511172149,0.69768748564031
travel,0.79941874091006,1,0.62314606374601,0.80466927802623,0.6804804970906
"us news",0.61972543017578,0.62314606374601,1,0.70188578665357,0.62589797159454
science,0.81356511172149,0.80466927802623,0.70188578665357,1,0.71058622938395
football,0.69768748564031,0.6804804970906,0.62589797159454,0.71058622938395,1
