"football  Football ",142,189|190|191|192|193|195|196|198|199|200|201|202|203|204|205|206|207|209|210|211|212|213|214|215|216|217|218|219|220|221|222|223|225|226|227|229|230|231|232|233|234|235|236|237|238|239|877|879|880|881|882|884|885|887|888|889|890|891|892|893|894|895|896|897|898|899|900|901|902|903|904|905|906|907|908|909|910|911|912|913|914|915|916|917|918|919|920|921|922|923|924|925|926|927|928|929|930|1557|1558|1559|1560|1561|1562|1563|1566|1567|1568|1569|1570|1571|1572|1573|1574|1575|1583|2155|2156|2157|2158|2159|2160|2161|2162|2163|2164|2165|2166|2167|2168|2169|2170|2171|2172|2173|2174|2175|2176|2177|2178|2179|2180|2181|,145|146|147|148|149|150|151|152|153|154|155|156|157|158|159|160|161|162|163|164|165|166|167|168|169|170|171|172|173|174|175|176|177|178|179|181|182|183|184|185|186|187|188|189|190|191|396|397|398|399|400|401|402|403|404|405|406|407|408|409|410|411|412|413|414|415|416|417|418|419|420|421|422|423|424|425|426|427|428|429|430|431|432|433|434|435|436|437|438|439|440|441|442|443|444|445|446|568|569|570|571|572|573|574|575|576|577|578|579|580|581|582|583|584|585|672|673|674|675|676|677|678|679|680|681|682|683|684|685|686|687|688|689|690|691|692|693|694|695|696|697|698|
"football  Sport ",1,228|,180|
"opinion  Sport ",1,262|,192|
"culture  Environment ",1,334|,193|
"fashion  Business ",9,473|481|485|501|1186|1198|2425|2429|2439|,194|202|206|222|461|473|706|710|720|
"fashion  Fashion ",66,474|475|476|477|478|479|480|482|483|484|487|488|489|490|495|496|499|500|502|503|505|506|507|508|509|510|512|513|514|515|517|518|519|520|521|1176|1178|1180|1183|1184|1187|1189|1190|1192|1193|1194|1195|1196|1200|1201|2422|2426|2428|2430|2431|2432|2434|2435|2437|2438|2440|2441|2443|2444|2446|2447|,195|196|197|198|199|200|201|203|204|205|208|209|210|211|216|217|220|221|223|224|226|227|228|229|230|231|233|234|235|236|238|239|240|241|242|452|453|455|458|459|462|464|465|467|468|469|470|471|475|476|703|707|709|711|712|713|715|716|718|719|721|722|724|725|727|728|
"fashion  Film ",3,486|2427|2445|,207|708|726|
"fashion  Life and style ",6,491|492|493|504|1181|2436|,212|213|214|225|456|717|
"fashion  Politics ",3,494|516|2423|,215|237|704|
"fashion  Opinion ",1,497|,218|
"fashion  Global development ",1,498|,219|
"fashion  Sport ",1,511|,232|
"uk-news  Science ",2,703|2047|,256|607|
"uk-news  Stage ",1,714|,267|
"uk-news  Education ",3,744|2050|2053|,297|610|613|
"uk-news  Money ",3,747|2048|2062|,300|608|622|
"sport  Culture ",2,767|791|,318|338|
"sport  Global Development Professionals Network ",1,771|,322|
"sport  Cities ",1,793|,340|
"sport  Environment ",2,800|1524|,347|550|
"sport  Stage ",2,801|1534|,348|556|
"sport  Books ",4,807|808|1535|1542|,354|355|557|561|
"sport  Science ",2,810|1540|,357|559|
"sport  Travel ",2,811|1551|,358|566|
"world  Environment ",3,816|2076|2078|,363|634|636|
"world  Public Leaders Network ",1,829|,366|
"world  Books ",2,839|861|,369|381|
"world  Music ",2,871|2079|,391|637|
"opinion  Politics ",1,936|,447|
"opinion  World news ",2,991|1648|,448|586|
"culture  US news ",1,992|,449|
"business  Politics ",1,1058|,450|
"lifeandstyle  Politics ",1,1119|,451|
"fashion  Technology ",2,1179|1199|,454|474|
"fashion  Money ",1,1182|,457|
"fashion  Media ",1,1185|,460|
"fashion  Travel ",1,1188|,463|
"fashion  World news ",1,1191|,466|
"fashion  Guardian Sustainable Business ",2,1197|2448|,472|729|
"environment  Politics ",1,1252|,477|
"environment  Sport ",1,1267|,478|
"technology  Politics ",2,1312|1917|,479|591|
"travel  Politics ",1,1374|,480|
"uk-news  Housing Network ",1,1446|,494|
"world  Film ",2,1467|1475|,515|523|
"world  Television & radio ",1,1468|,516|
"world  Cities ",1,1483|,527|
"world  Guardian Sustainable Business ",1,1486|,529|
"sport  Australia news ",1,1530|,553|
"culture  Politics ",1,1653|,587|
"culture  Society ",1,1664|,588|
"culture  Art and design ",1,1673|,589|
"lifeandstyle  US news ",1,1776|,590|
"uk-news  Travel ",1,2043|,603|
"world  Money ",1,2066|,626|
"world  Culture ",1,2070|,628|
"sport  Politics ",1,2099|,656|
"sport ",1,2101|,658|
"opinion  US news ",1,2197|,699|
"opinion  Opinion ",1,2206|,700|
"opinion  Technology ",1,2215|,701|
"lifeandstyle  Music ",1,2397|,702|
"fashion  Society ",1,2424|,705|
"fashion  Guardian Small Business Network ",1,2433|,714|
"fashion  Books ",1,2442|,723|
"environment  Music ",1,2484|,730|
