"Document 1","Document 2",Similarity,Words1,Words2
,,,squeez,thing
,,,sstyle,think
,,,stai,thrive
,,,stake,time
,,,start,tocquevil
,,,statement,toler
,,,station,tradit
,,,statist,treat
,,,statu,true
,,,steadi,trump
,,,stimul,trust
,,,stop,tycoon
,,,strongli,typic
,,,structur,unfair
,,,stun,union
,,,subsist,unless
,,,success,unlik
,,,suffer,unpopular
,,,suicid,unstopp
,,,supermarket,upset
,,,support,usual
,,,surpris,utopian
,,,survei,valu
,,,tabl,van
,,,take,varieti
,,,taken,vladimir
,,,tax,wane
,,,taxat,want
,,,term,wave
,,,thank,wax
,,,theresa,wed
,,,think,wellmean
,,,took,wellthoughtout
,,,tori,west
,,,trump,western
,,,understand,wilderss
,,,unhappi,wise
,,,univers,woman
,,,unpreced,word
,,,unreport,work
,,,urgenc,world
,,,valu,worship
,,,victori,worst
,,,virtual,york
,,,vision,your
,,,visit,youv
,,,vote,
,,,voter
,,,wage
,,,washington
,,,wast
,,,weaken
,,,wed
,,,wellb
,,,western
,,,wheel
,,,white
,,,wider
,,,widespread
,,,wildli
,,,willing
,,,wisconsin
,,,work
,,,workingclass
,,,world
,,,wryli
,,,year
,,,younger
,,,your
,,,youv
,,,
